,0
56,三级警戒仍未解除 内政部：6月常备役体检抽签、替代役入营延期
57,居家快筛价格远高于国外 蓝委：应免费供民众取用
58,又昨非今是？绿委封杀3＋11会议记录 黄暐瀚批：过去反黑箱 现在变黑箱
59,蔡英文与郭台铭过招自认高明？沈富雄：让老美吓出一身汗
60,直播》北农士林群聚疫情扩大 柯文哲急开记者会说明
61,三级警戒若到9月 林祖嘉：经济成长率将掉1％
62,北农45人感染风暴 议员要柯P向全民道歉
63,陈文茜评蔡英文的一句话 罗智强认同：会知道民进党出什么问题
64,民调：7成5民众不满纾困方案！国民党吁增加劳工纾困贷款名额
65,驻港人员撤离！国民党：应透过谈判或第三方斡旋解决
66,士林护理之家爆群聚 陈文茜想起义大利悲剧叹：千堆尸体换来的答案
67,国际疫苗抵台后 高虹安要民进党想4件事：国产放缓别变「早产」
68,陈丽玲》时间超级凑巧 美国为何赠250万剂疫苗？
69,感谢美捐疫苗却遭出征 国民党痛批：绿营眼中只有「同党一命」
70,蔡诗萍》62票坐实了民进党爱玩多数暴力 明了范云的自毁长城！
71,批蓝「百年最走钟的演出」他9问柯建铭：活在不同平行时空？
72,只有林玮丰在认知作战？徐巧芯：表演抓蟑螂给你看
73,北农群聚感染扩大 许淑华爆北市府「犯了4个错误」
74,赵少康曝台湾不能坐等国际捐赠疫苗 提醒蔡英文有件事更重要
75,授权民间买BNT疫苗蔡英文4裁示 郭正亮揭第4点藏眉角
76,美国送台湾250万剂莫德纳疫苗 宅神发现两个问题
77,蔡英文悼念拜登去世的狗惹议 钟小平曝2问题要她向全台湾人道歉
78,台湾何时会降回二级 名医爆「真正解封时间」
79,全国三级警戒满一个月 最新民调曝光
80,叶元之感谢美国遭围剿 酸绿粉：丢台湾脸也不是第一次了
81,62绿委反对公开3＋11会议记录 吴子嘉却爆陈时中结局
82,628后台湾该分区降级吗？最新民调差距惊人
83,孕妇列入疫苗施打？ 蔡英文：专家会议很快会订出指引
84,疫情下蓝绿阵营亮点曝光 吴子嘉爆：下个会期前陈时中应会离开
85,苏贞昌PO文报告美赠疫苗已抵台 绿委纷留言
86,美国为何送来250万剂莫德纳疫苗 郭正亮爆背后原因
87,美赠台数百万剂疫苗 蒋万安脱口2句话 
88,柯文哲提10例下降级 郑文灿：中央统一决定
89,美赠250万剂疫苗后 蓝营：蔡政府不用交代这些问题？
90,卢秀燕开放邻长打疫苗 名嘴一算大惊：蔡其昌还要不要选了？
91,民进党否决了这些案！历史会记住这天
92,今1架共机侵扰我西南空域
93,美捐赠疫苗抵台 AIT：展现美国对台湾的承诺
94,北农爆发群聚感染 韩国瑜忧心不舍：愿老同事们一切安好
95,美国250万剂疫苗今抵台 专家建议一件事：做到有望解封
96,网友痛批人命不如狗命 郑照新：他们没等到蔡总统悼念
97,美也捐250万剂疫苗 亲绿粉专竟炫耀台湾世界第一 药师傻眼
98,疫苗捐的比买的多 中央在防疫过程中错失良机？ 最新民调一面倒
99,民团：感谢美国620捐赠疫苗救助台湾
100,美国250万剂疫苗将抵台 蔡英文下午5点再度发表谈话
101,美捐250万剂莫德纳 柯文哲吁中央一事：别再让台湾社会打成一片
102,蔡英文留言悼念拜登死去的狗 郑照新88字泄悲哀真心话
103,送疫苗应急 美国不让小英再顾虑高端股票？ 苏伟硕曝最大国安危机
104,长者打AZ死亡通报率高 立委轰还要让长辈打AZ吗？
105,赖士葆：感谢美国赠疫苗 批指挥中心采购能力太差
106,简讯实联制问题多 赖士葆提4点质疑
107,为民陈情蓝绿不同？过来人揭内幕
108,美赠250万疫苗 罗智强曝小英没「他」不会当乞丐去求
109,长者打疫苗死亡统计「莫名消失」游淑慧揭卫福部只手遮天3大招
110,政府昔挡快筛剂今放行 施正锋：无比困惑
111,拜登爱犬过世蔡英文致哀 网友批：台湾人不如美国狗
112,美国捐疫苗 蓝委轰超前部署沦「疫苗乞丐」
113,62票封杀「3＋11会议纪录」蔡诗萍轰：民进党多数暴力 范云自毁长城
114,民进党重选票轻人命 江怡臻：民进党用独裁背离民意
115,政府致力于掩盖真相 宅神怒飙6点：民进党根本有病
116,250万剂莫德纳疫苗抵台 黄伟哲：台湾的及时雨
117,江启臣赴苗栗捐防疫设备 痛批执政党立委阻挡提案
118,250万剂莫德纳来了 国民党吁让孕妇优先打
119,我驻香港办事处人员今撤离 林飞帆：无法接受
120,大量疫苗都靠他国捐赠 蔡政府遭批「不见羞惭」：脸皮够厚
121,7议案遭反对 蓝委痛批：民进党把人命当数字
122,美援疫苗加码3倍关键曝光 网：民进党真会大内宣
123,美赠250万剂疫苗 朱立伦谢喊美国是真朋友
124,实联制恐侵害个人隐私 郑丽文要求指挥中心给交代
125,美方提供250万剂疫苗将抵台 张惇涵透露秘辛
126,黄珊珊》台湾致死率全世界第一 太多人枉死
127,陈朝平》授权捐赠疫苗？一场庸人自扰的闹剧
128,郭正亮提建言遭批「赤色打手」？罗智强呛爆段宜康
129,绿营封杀公开3＋11会议记录等提案 前立委批「恶心政客」8问蔡英文
130,郭董、台积电疫苗采购稳了？他警告：到货前别太相信蔡政府 
131,范云等绿委反对公开3＋11会议记录 郭正亮脱口4字
132,柯P爆料高嘉瑜乔疫苗 两人最新「民调」跌破眼镜
133,美赠我250万剂莫德纳 为什么这个数量 总统这样说
134,美国250万剂莫德纳赠台 府：证明美具体行动支持台湾抗疫
135,中时新闻网声明
136,政府放行进口1千万剂BNT疫苗 吴子嘉爆大玄机
137,民间买疫苗政府终于开绿灯 郭董声量超车蔡英文
138,罗智强：染疫死亡者有黑数 批陈时中改名「疫情掩盖中心」指挥官
139,当台湾走出疫情 江启臣：国民党将上街头替确诊身亡者讨公道
140,扩大采购国际认证疫苗提案遭否决 傅崐萁喊话「护国神山、郭董加油」
141,桃园市议长吁郑文灿跟进台中为邻长打疫苗
142,「用芯片换疫苗」会成真吗？郭正亮回应一句
143,提案急购4千万剂WHO认证疫苗遭搁置 傅崐萁：民进党用粗暴手法对待人民
144,AIT证实：250万剂莫德纳疫苗明抵台
145,终于肯向上海复星买疫苗 网怒轰陈时中：政策转弯原因竟不是疫情
146,禾馨争取疫苗透露曾被大安某民代拒绝 林奕华回应了
147,被批阻挡在野党防疫提案 民进党：多数获各党团通过而决议
148,Delta病毒来势汹汹 陈伟杰：我入境政策还不调整？
149,不认关说 高嘉瑜还原事情经过：公道自在人心
150,蔡英文会见郭台铭、刘德音后 黄创夏看到监委举动：不太寻常
151,高嘉瑜柯文哲为关说疫苗杠上 黄创夏：好奇一件事
152,遭柯P爆料关说疫苗 高嘉瑜回应了 名嘴分析她表情：在鬼扯
153,陈以信：长辈打AZ死亡通报率逼近万分之一 吁食药署调整接种顺序
154,中市开放邻长打疫苗 卢秀燕90度鞠躬表示负责
155,中市开放邻长打疫苗 卢秀燕遭绿营质疑涉嫌绑桩
156,疫情爆发后 名医：有人2022恐怕飞了 有人2024依然没机会
157,禁邻长打疫苗 柯P酸每天搞这些「nonsense」
158,应先封存官员施打名单 王世坚：事后一个都跑不掉
159,美国捐赠75万剂疫苗明天到？谢长廷这样说
160,蔡英文和郭台铭、刘德音会面 林浊水猛然发现一件事
161,苏贞昌视察竹南电子厂防疫 面对提问多以四两拨千斤方式回应
162,柯文哲爆她关说要疫苗 网友灌爆高嘉瑜脸书
163,美俄峰会落幕 吴玉山：北京不愿见到俄国转向
164,赖士葆：台积电极可能是「被要求」捐赠 政府不愿让郭台铭独享功劳
165,「来做事非作秀」 柯文哲呛中央：每天报数字没有用
166,影／否认施压 高嘉瑜：仅转达诊所需求 卫生局「不到10分钟」即回应
167,挡疫苗蔡政府骑虎难下 夏春涌曝原因预言可怕结局
168,力挺邻长接种疫苗 中市蓝议员怒批中央乱卡
169,政府为何开放科技业自购疫苗？高虹安一句话曝真相
170,陈念初》蔡总统没有偷打疫苗问题 是应打而未打
171,62反对票霸凌民意 罗智强怒轰民进党：莱猪党又来了
172,游淑慧曝中央地方防疫人员逾11万人打疫苗 公布明细：有点惊人
173,劳工纾困破百万人申请暂停收件 赖香伶批错估需求吁政院加码
174,公开3＋11会议记录遭挡 陈思宇痛批：立委现形记
175,台中邻长纳施打对象 高雄蓝绿民代力促陈其迈跟进
176,北市确诊死亡家属没慰问金 议员王欣仪批柯市长缺乏同理心
177,民进党若不懂谦卑 江启臣：回去当反对党好了
178,批蔡政府遗弃岛上一半人民 陈文茜示警：疫苗到年底还短少2000万剂
179,扩大采购国外疫苗遭否决 陈文茜：台湾人生命权正逐步被另类威权侵害
180,邻长若染疫如何服务里民？地方吁中央重视
181,全国村里长联谊总会上书蔡总统 吁帮邻长、志工打疫苗
182,黄暐瀚2天前问「若买BNT的是张忠谋」 网惊：铁口神算
183,欧盟取消旅行限制 苏贞昌：国际对台湾防疫肯定但勿松懈
