,0
46,打混航警超强烈对比！台南侦查佐写出10年经验传新人
47,高雄51岁员警打疫苗后不适 医院诊断脑出血
48,印尼籍非法女移工所生男婴窒息亡 检察官采检体送验
49,影／新北砂石车红灯恍神追撞 轿车翻复骑士颅内出血
50,触媒转换器飙涨台湾各地窃案频传 台南警逮一窃嫌声押
51,三级警戒硬要欢唱 桃园大楼KTV、移工餐厅同时偷复业
52,影／中火百米输煤带火警扑灭 台电：机组正常不影响供电
53,房地价值约为9.28亿元 妇联会美龄楼移转国有停止执行
54,桃园地检获130人疫苗造册 下周起外勤检察官开始施打
55,男疑缺钱买毒抢买菜妇人金项鍊 快速变卖7万
56,她捡到有4600元夹链袋据为己有 警上门法办侵占遭罚3千
57,疑债务纠纷惹祸 4男至林口手机行棒球砸门、扔掷信号弹
58,男搭高铁不满车长询问 冲口而出「我有炸弹！」遭判刑
59,不愿调北京遭开除 台湾女业务打官司确定赢了荷航！
60,100亿银行法诈犯怕染疫不想去警局报到　法官：准！
61,按摩女抚摸警察生殖器罚1500元　法官：无法证明性交易
62,无人在家套房突然起火 竟是3只猫啮咬电线惹的祸
63,忧长辈打疫苗猝死 桃园94岁翁未接种却疑吃粽子噎死
64,前妻夺回婚姻仍没用！男方决心诉离  苦撑14年结局曝光
65,林益世11年前收6300万贿赂 高院更一审减成4年10月刑
66,影／马来西亚官员散播不实影片 台湾人争先恐后打疫苗
67,假借出海钓鱼金门男子走私大陆香菇藏密舱 遭岸巡查获
68,饲主未加装防护措施导致爱犬坠楼亡　新北开罚1.5万元
69,影／独居妇轮椅「落轮」卡路中 男警直接抱起上巡逻车
70,离家轻度智障女遭6男女施虐 惨遭剃光头强制性交险丧命
71,路树倒塌在平交道 桃园内坜站间双向列车延误
72,区公所模拟8次都没事 破损水沟盖害他惨摔争国赔败诉
73,待转区看不到二段式标志 违规左转罚单遭撤销
74,养浣熊咬伤自家毛小孩狂叩救援 妇人滥用公务资源挨罚
75,影／中火输煤转运塔百米皮带失火如火龙 供电目前未受影响
76,影／基隆正滨渔港渔船大火浓烟密布 火势猛烈抢救中
77,影／疫情下庙宇香火钱减少？20岁宵小行窃被逮法办
78,影／2男3女均约20岁群聚打麻将 台中警斥：还不戴口罩
79,彰化七旬拾荒妇以死威胁拒戴口罩　口罩纠察队也头痛
80,台南口罩厂168包口罩遭窃 5员工监守自盗没头路还赔钱
81,又一名裸女未戴口罩走上台中街头！警调阅监视器查办
82,南投老翁银行提百万要救女 中兴分局埋伏活逮诈骗车手
83,7岁童柔道课遭重摔昏迷57天 血压正常不需仰赖升压剂
84,昨连上三小时发文「要升天感觉」 宜大副教授猝死家中
85,防疫期间宅在家吸毒传恶臭 台南大楼警民合作揪毒鸳鸯
86,台中警未戴口罩处理车祸被拍下 网友批：新社解放了？
87,开车上国道打水漂自撞护烂 女乘客遭抛出车外重伤身亡
88,狠父虐死女婴捆成木乃伊冰3天 还揪小三沙滩埋尸判10年
89,月缴骗「趸缴」 邮局女员工诈6亿保费独赔5千万确定
90,来不及到医院快筛！逢甲商圈干部暴毙住处法医采检送验
91,屏东国有林地遭弃置废弃物太空包 警逮3环保蟑螂送办
92,基隆社区篮球场旁如升营火 框网也遭殃 疑禁止打球有人洩愤
93,遭3岁熟睡哥哥压到窒息？ 台中未满1月大男婴送医不治
94,影／汽车碰撞衍生纠纷 台中奔驰狠男撂寿星友人5打1
95,假整地真盗采！半年挖高雄4000馀吨砂石 约3个篮球场大
96,网传遭摔昏迷黄小弟脚有反应 院方：脊椎自然反射
97,顶尖大学男研究生偷拍学妹洗澡 遭判刑4月、赔偿30万
98,妻子外遇又不认 醋男一气放火烧了岳母家
99,夸张水果摊业者口罩戴后脑勺屡罚不怕 再犯就勒令停业
100,民怨火烧车亡15天检警未开死亡证明？警：遇轮休又假日
101,男驾车载2友疑失控撞电杆 驾驶受困车内2小时「意识渐模糊」伤重不治
102,台3线骑士未戴口罩 苗警2天取缔15件
103,路肩开放禁止变换车道 他途中切回主线收4000元罚单
104,糖尿病酿祸！男闯红灯撞3车 警车到也被撞
105,趁警忙于防疫开设赌场 17赌客被逮估将开出百万罚锾
106,毒贩拘留室跳墙撞破头身亡 同夥帮制安非他命遭判4年
107,「好心肝」私打AZ疫苗惹议 北检分他字案调查中
108,中古车卖不掉 老板开名车偷触媒转换器被逮
109,台南奔驰车自撞安全岛起火燃烧 路人协助驾驶脱困送医
110,端午连假溪湖区排水色血腥 彰县环保局查呒陷罗生门
111,火烧但车门开启！小队长疑下车又回车上 尸体烧毁将解剖
112,嬷想去有确诊足迹市场买菜 被儿阻跌在地号啕哭惊动警
113,台中西屯铁皮屋冒火 隔壁车行快移车
114,17人工地福利社聚赌 钱藏床底灯罩面临百万罚锾
115,警员值勤染疫风险大 联合报工会采购护目镜赠汐止分局
116,持水果刀行抢超商  男子2小时内被逮
117,脸书发文「里内有人确诊」假讯息！　鸡蛋摊商下场惨了
118,后里养护中心爆不实造册偷打疫苗 业者：7名为储备员工
119,【法律快译通】公司说调动就调动？劳权5规范 家庭生活也列考量
120,家庭主妇遭撞求偿不能工作 法院：家务劳动具经济价值
121,豪宅成凶宅家属赔300万 高院逆转：自杀者还考虑贬值？
122,「短信实联制」遭警方利用办案 刑事局晚间说明经过
123,夸张！为女友查个资还涉赌 北市万华莒光所警员遭法办
124,嘉义幼童跌落大排成泥人  水不深获救未受伤
125,康复之家女负责人上吊轻生　检警将相验厘清死因
126,暖警雨中陪疑似失智长者走3公里回家 田中警分局表扬
127,趁疫情行骗  刑事局授3原则防诈
128,在台诈团骗美、加籍熟女6万5000美元 检警破获爱情机房
129,男子疑闯铁轨遭台铁区间车撞上 送医抢救中
130,以为警察忙防疫 药头随身带毒品穿梭旅馆贩毒当街被逮
131,持水果刀行抢超商 男子2小时内被逮
132,男逗弄小蟾蜍太忘我…拉下口罩吹一口气　遭警依法开罚
133,响应「小英给我疫苗」活动　男骑士误催油门撞伤北市警
134,孙子贩毒黑吃黑遭痛打？阿嬷付款失败报警才知是骗局
135,北巿小客车失控撞8车起火燃烧 驾驶逃出、2人轻伤
136,影／台中火力发电厂运煤皮带失火烈焰冲天 消防赶往灌救
137,16屁孩群聚超商寻仇 持西瓜刀砍断掌 5人8日晚遭声押
138,台中救护车载80岁女病患90度翻车 救出2女、1护士送医
139,癡情男「晕船」舞小姐砸钱遭骗　怒发文盼别再有受害者
140,纠众持刀砍人违防疫规定群聚 新北警法办再送罚
141,轻熟女向鸣笛火车敬礼后卧轨 司机员三步骤救她一命
142,露营车违规闯入阿里山知名景点 乡代气炸痛批：恶劣！
143,妇人登抹茶山失踪逾3个月 翡翠水库寻获遗体证实罹难
144,台中西屯铁皮屋冒火 隔壁车行连忙移车
145,嘉义失业男精神状况不稳 挥刀砍伤六旬老母亲
146,疑高处坠落肢体被切断 淡水红树林发生恐怖坠楼命案
147,新北男骑大重机到台东 撞上右转车摔伤被骂「趴趴走」
148,影／19岁男快乐生日趴遇警全傻眼 7男聚集一罚最少42万
149,1月外墙才倒塌压老翁 高雄这栋旧大楼下午拆除又出包
150,副所长抓酒驾击毙女乘客 检：没把握不误击应放弃开枪
151,花莲县救护员1天消耗5、60套防护衣 15家业者捐物资
152,影／中火输煤转运塔百米皮带失火如火龙 供电未受影响
153,七旬翁车轮卡水渠 台中警用这辆四轮传动巡逻车救援
154,离奇！男国道自撞护栏 坠落7层楼高高架桥下惨死
155,坟墓旁、养鸭场、高架桥下 云林男猥亵性侵2女童判6年
156,越籍女直播乱讲7警染疫传人 拒到案称「确诊多不想去」
157,疫情意外法律假 台东上百人缓入监和缴罚金
158,壹电视摄影死后确诊 内湖警分局23人PCR检测全阴
159,泡水多日、指纹难采证 南港警仍帮无名尸找到回家的路
160,超过28公吨海量椰子壳弃置高雄旗山 法院判他6个月徒刑
161,深夜传出麻将声 警获报查获6人违规全开罚
162,父恨凶手把女儿当提款机恳求判死 「没前科」仍处无期
163,高雄经纪公司内查获5男女群聚 辩经营泰国虾生意
164,抢来金鍊竟被「热心民众」拦下侵占 毒虫再抢一案被逮
165,欲速则不达！金门外送员午餐时刻赶送餐相撞 一人送医
166,疫情假讯息3个月办了1230人 高检署：绝对从速抓人
167,好心肝诊所涉特权打疫苗 柯文哲恩师许金川到案
168,桃园复兴路传男子拒检逃逸 网目击称：他亮枪
169,与六月大女儿同睡她遭棉被闷住窒息而死 男子跳楼轻生
170,印尼船员公海身亡达1个月     检疫人员登船采检
171,5月国道超速前十大黑名单出炉 最扯竟狂飙时速217公里
172,苏澳硫酸槽车翻复满地硫酸 驾驶受伤意识清楚急送医
173,不怕染疫？中坜有女陪侍小吃店偷营业 警查获8名男女
174,影／中火百米输煤带火警扑灭台电：机组正常不影响供电
175,船员猝死停靠高雄港相验 卫生局：另11人健康无虞
176,桃园94岁长者受不了闷在家 出门透气却忘记回家路
177,染疫移工宿舍曝光 狭窄拥挤成病毒温床「侵犯人权」
178,印尼船员公海身亡达1个月 检疫人员登船采检
179,圆山捷运站旁民宅传火警 疑厨房失火消防员救出3人
180,基隆男子酒后从阳台坠落 单脚卡铁窗倒栽葱待援
181,暗夜没路灯黑狗突窜出过马路 他急煞汽车坠水沟警协助
182,单亲少女父亲过世后跟男网友离家7天  高雄少年队寻回
183,胡扯食药署长与陈时中通奸 「行善纳税人」判2月刑定谳
184,摘错器官太乌龙！母狗结紮被切除胰脏送命 兽医遭停业
